Source,Target,Type,Id,Label,Weight
12,31,Undirected,515,,10
12,9,Undirected,516,,18
12,32,Undirected,517,,12
17,30,Undirected,518,,53
17,15,Undirected,519,,40
6,21,Undirected,520,,18
30,21,Undirected,521,,34
30,14,Undirected,522,,41
30,15,Undirected,523,,26
30,8,Undirected,524,,25
7,15,Undirected,525,,29
21,9,Undirected,526,,32
14,31,Undirected,527,,24
14,9,Undirected,528,,47
14,32,Undirected,529,,35
15,31,Undirected,530,,15
15,9,Undirected,531,,27
15,32,Undirected,532,,19
9,8,Undirected,533,,23
37,19,Undirected,534,,20
37,20,Undirected,535,,5
27,16,Undirected,536,,25
23,19,Undirected,537,,10
23,20,Undirected,538,,11
23,16,Undirected,539,,16
9,16,Undirected,540,,30
2,38,Undirected,541,,30
10,17,Undirected,542,,28
10,38,Undirected,543,,12
35,38,Undirected,544,,20
35,20,Undirected,545,,15
24,38,Undirected,546,,17
3,38,Undirected,547,,16
12,38,Undirected,548,,19
17,38,Undirected,549,,43
38,20,Undirected,550,,13
38,30,Undirected,551,,23
38,7,Undirected,552,,22
38,21,Undirected,553,,24
38,14,Undirected,554,,43
38,15,Undirected,555,,15
38,1,Undirected,556,,81
38,8,Undirected,557,,26
20,15,Undirected,558,,14
20,8,Undirected,559,,13
24,34,Undirected,560,,19
28,17,Undirected,561,,18
28,34,Undirected,562,,10
12,34,Undirected,563,,11
17,34,Undirected,564,,27
19,34,Undirected,565,,7
0,34,Undirected,566,,23
32,34,Undirected,567,,8
37,4,Undirected,568,,17
37,5,Undirected,569,,5
37,38,Undirected,570,,10
37,29,Undirected,571,,5
37,26,Undirected,572,,6
4,38,Undirected,573,,22
4,26,Undirected,574,,13
27,38,Undirected,575,,16
27,18,Undirected,576,,22
27,26,Undirected,577,,9
27,13,Undirected,578,,11
23,5,Undirected,579,,15
23,38,Undirected,580,,13
23,18,Undirected,581,,13
23,29,Undirected,582,,25
23,26,Undirected,583,,14
23,13,Undirected,584,,7
17,29,Undirected,585,,35
5,38,Undirected,586,,21
5,18,Undirected,587,,13
5,13,Undirected,588,,8
5,14,Undirected,589,,22
5,15,Undirected,590,,10
5,16,Undirected,591,,9
38,18,Undirected,592,,12
38,0,Undirected,593,,35
38,29,Undirected,594,,18
38,26,Undirected,595,,19
38,13,Undirected,596,,18
38,32,Undirected,597,,17
38,16,Undirected,598,,18
18,26,Undirected,599,,10
18,32,Undirected,600,,18
0,26,Undirected,601,,31
29,26,Undirected,602,,14
29,13,Undirected,603,,8
29,15,Undirected,604,,15
29,16,Undirected,605,,19
20,26,Undirected,606,,7
20,13,Undirected,607,,7
26,13,Undirected,608,,8
26,7,Undirected,609,,9
26,14,Undirected,610,,17
26,15,Undirected,611,,7
26,32,Undirected,612,,7
26,16,Undirected,613,,11
26,8,Undirected,614,,14
13,7,Undirected,615,,23
13,32,Undirected,616,,8
35,5,Undirected,617,,15
35,29,Undirected,618,,17
22,11,Undirected,619,,18
22,5,Undirected,620,,15
22,38,Undirected,621,,18
22,29,Undirected,622,,17
11,23,Undirected,623,,14
11,38,Undirected,624,,18
25,38,Undirected,625,,20
25,29,Undirected,626,,17
38,31,Undirected,627,,14
38,9,Undirected,628,,29
37,34,Undirected,629,,10
21,34,Undirected,630,,13
22,33,Undirected,631,,9
22,18,Undirected,632,,18
22,34,Undirected,633,,6
22,16,Undirected,634,,16
27,33,Undirected,635,,12
27,34,Undirected,636,,9
33,25,Undirected,637,,14
33,12,Undirected,638,,13
33,5,Undirected,639,,8
33,38,Undirected,640,,13
33,30,Undirected,641,,13
33,31,Undirected,642,,8
33,9,Undirected,643,,16
33,32,Undirected,644,,8
33,16,Undirected,645,,14
25,18,Undirected,646,,13
25,34,Undirected,647,,14
12,5,Undirected,648,,8
5,34,Undirected,649,,5
38,6,Undirected,650,,23
38,34,Undirected,651,,16
18,30,Undirected,652,,21
18,31,Undirected,653,,12
18,9,Undirected,654,,26
30,34,Undirected,655,,15
30,16,Undirected,656,,27
31,34,Undirected,657,,4
9,34,Undirected,658,,9
34,16,Undirected,659,,14
2,26,Undirected,660,,13
2,34,Undirected,661,,12
38,36,Undirected,662,,11
36,20,Undirected,663,,9
36,26,Undirected,664,,8
36,7,Undirected,665,,16
36,34,Undirected,666,,11
36,8,Undirected,667,,19
20,34,Undirected,668,,7
26,34,Undirected,669,,8
10,22,Undirected,670,,9
35,19,Undirected,671,,14
22,19,Undirected,672,,11
37,11,Undirected,673,,9
38,19,Undirected,674,,10
19,15,Undirected,675,,22
19,8,Undirected,676,,15
37,33,Undirected,677,,10
37,36,Undirected,678,,9
33,19,Undirected,679,,13
12,36,Undirected,680,,15
19,36,Undirected,681,,11
24,23,Undirected,682,,17
12,29,Undirected,683,,9
25,36,Undirected,684,,15
10,25,Undirected,685,,10
10,36,Undirected,686,,17
10,26,Undirected,687,,5
4,25,Undirected,688,,18
25,13,Undirected,689,,10
10,23,Undirected,690,,7
5,21,Undirected,691,,12
6,26,Undirected,692,,9
26,31,Undirected,693,,7
3,34,Undirected,694,,10
6,36,Undirected,695,,6
36,30,Undirected,696,,14
36,31,Undirected,697,,6
36,9,Undirected,698,,10
36,32,Undirected,699,,10
12,26,Undirected,700,,7
30,26,Undirected,701,,13
26,21,Undirected,702,,16
26,9,Undirected,703,,11
28,26,Undirected,704,,9
22,20,Undirected,705,,12
19,13,Undirected,706,,10
36,16,Undirected,707,,13
33,21,Undirected,708,,19
29,36,Undirected,709,,9
29,21,Undirected,710,,20
36,21,Undirected,711,,16
3,26,Undirected,712,,10
3,16,Undirected,713,,13
33,26,Undirected,714,,11
25,20,Undirected,715,,14
23,33,Undirected,716,,8
22,36,Undirected,717,,7
22,13,Undirected,718,,8
36,15,Undirected,719,,11
30,13,Undirected,720,,12
35,34,Undirected,721,,12
23,34,Undirected,722,,10
28,38,Undirected,723,,14
23,28,Undirected,724,,14
22,28,Undirected,725,,7
25,19,Undirected,726,,8
23,36,Undirected,727,,7
15,34,Undirected,728,,13
35,26,Undirected,729,,7
22,26,Undirected,730,,5
11,26,Undirected,731,,10
5,36,Undirected,732,,5
27,36,Undirected,733,,10
13,31,Undirected,734,,5
33,15,Undirected,735,,9
25,28,Undirected,736,,13
19,26,Undirected,737,,4
22,24,Undirected,738,,8
13,34,Undirected,739,,6
28,36,Undirected,740,,3
