Source,Target,Type,Id,Label,Weight
46,22,Undirected,913,,4
46,67,Undirected,915,,6
47,52,Undirected,931,,3
47,57,Undirected,936,,3
47,59,Undirected,938,,3
47,62,Undirected,941,,3
47,66,Undirected,947,,4
47,67,Undirected,948,,4
47,74,Undirected,955,,4
48,49,Undirected,960,,3
48,52,Undirected,963,,7
48,54,Undirected,965,,3
48,55,Undirected,966,,6
48,60,Undirected,971,,4
48,62,Undirected,973,,4
48,63,Undirected,974,,3
48,21,Undirected,976,,7
48,65,Undirected,977,,3
48,22,Undirected,978,,7
48,66,Undirected,979,,7
48,67,Undirected,980,,15
48,68,Undirected,981,,3
48,69,Undirected,982,,5
48,71,Undirected,984,,3
48,73,Undirected,986,,3
48,74,Undirected,987,,7
48,75,Undirected,988,,3
48,77,Undirected,990,,5
49,52,Undirected,994,,3
49,55,Undirected,997,,6
49,62,Undirected,1004,,3
49,63,Undirected,1005,,4
49,22,Undirected,1009,,3
49,67,Undirected,1011,,5
49,69,Undirected,1013,,5
49,75,Undirected,1019,,3
50,52,Undirected,1024,,3
50,54,Undirected,1026,,4
50,57,Undirected,1029,,3
50,62,Undirected,1034,,4
50,66,Undirected,1040,,4
50,67,Undirected,1041,,5
50,74,Undirected,1048,,4
50,77,Undirected,1051,,4
51,62,Undirected,1063,,3
51,22,Undirected,1068,,3
51,67,Undirected,1070,,4
51,74,Undirected,1077,,3
52,53,Undirected,1082,,4
52,55,Undirected,1084,,4
52,57,Undirected,1086,,6
52,58,Undirected,1087,,4
52,60,Undirected,1089,,7
52,62,Undirected,1091,,5
52,63,Undirected,1092,,4
52,21,Undirected,1094,,5
52,65,Undirected,1095,,3
52,22,Undirected,1096,,6
52,66,Undirected,1097,,5
52,67,Undirected,1098,,15
52,68,Undirected,1099,,6
52,69,Undirected,1100,,6
52,73,Undirected,1104,,3
52,74,Undirected,1105,,6
52,75,Undirected,1106,,3
52,77,Undirected,1108,,4
53,57,Undirected,1113,,8
53,61,Undirected,1117,,3
53,62,Undirected,1118,,4
53,63,Undirected,1119,,3
53,64,Undirected,1120,,4
53,21,Undirected,1121,,3
53,65,Undirected,1122,,3
53,22,Undirected,1123,,3
53,66,Undirected,1124,,3
53,67,Undirected,1125,,7
53,72,Undirected,1130,,3
53,74,Undirected,1132,,5
53,75,Undirected,1133,,4
54,55,Undirected,1137,,3
54,57,Undirected,1139,,3
54,59,Undirected,1141,,3
54,62,Undirected,1144,,3
54,22,Undirected,1149,,3
54,66,Undirected,1150,,4
54,67,Undirected,1151,,8
54,69,Undirected,1153,,4
54,71,Undirected,1155,,3
54,74,Undirected,1158,,5
54,75,Undirected,1159,,3
55,60,Undirected,1167,,4
55,62,Undirected,1169,,5
55,63,Undirected,1170,,4
55,21,Undirected,1172,,3
55,22,Undirected,1174,,10
55,66,Undirected,1175,,4
55,67,Undirected,1176,,12
55,69,Undirected,1178,,9
55,74,Undirected,1183,,4
56,66,Undirected,1199,,3
56,67,Undirected,1200,,3
56,68,Undirected,1201,,4
57,59,Undirected,1213,,3
57,60,Undirected,1214,,4
57,61,Undirected,1215,,3
57,62,Undirected,1216,,4
57,63,Undirected,1217,,5
57,64,Undirected,1218,,4
57,21,Undirected,1219,,3
57,65,Undirected,1220,,4
57,22,Undirected,1221,,5
57,66,Undirected,1222,,7
57,67,Undirected,1223,,13
57,69,Undirected,1225,,3
57,72,Undirected,1228,,3
57,73,Undirected,1229,,3
57,74,Undirected,1230,,9
57,75,Undirected,1231,,7
57,76,Undirected,1232,,3
57,77,Undirected,1233,,3
58,22,Undirected,1243,,3
58,67,Undirected,1245,,4
58,68,Undirected,1246,,3
59,60,Undirected,1257,,3
59,22,Undirected,1264,,4
59,66,Undirected,1265,,4
59,67,Undirected,1266,,5
59,69,Undirected,1268,,4
59,71,Undirected,1270,,3
59,74,Undirected,1273,,4
