Id,Label,modularity_class,Size
47,More Warpstone,0,0.00022690437601296596
48,Dankus Memecus,0,0.00021476510067114095
49,Dark Buddhist,0,0.0002125
50,Ludi et Historia,0,0.0002110091743119266
51,Bokoen1,0,0.0001948051948051948
52,Laith,0,0.00019327731092436975
53,iSorrowproductions,0,0.0001915151515151515
54,Ankhor,0,0.00017991004497751125
55,The Red Hawk,0,0.00017391304347826088
56,CallMeEzekiel,0,0.00017365269461077845
57,Alex The Rambler!,0,0.00017321016166281755
58,Things I Care About,0,0.0001718213058419244
59,FeedBackGaming,0,0.0001657303370786517
60,Rosencreutz,0,0.00016560509554140127
61,One Proud Bavarian,0,0.00016363636363636363
62,Zlewikk TV,0,0.00016101694915254236
63,Rarr,0,0.00016037735849056605
64,AdizzPro,0,0.0001576086956521739
65,AlzaboHD,0,0.000155688622754491
66,Pilps,0,0.000155688622754491
67,TommyKayVIBE,0,0.0001529051987767584
68,TommyKay,0,0.00015055762081784386
69,Taureor,0,0.00014847161572052403
70,HeyCara,0,0.00014634146341463414
71,Snap Strategy,0,0.00013761467889908258
72,Fredda,0,0.0001372549019607843
73,Old Britannia,0,0.0001371308016877637
74,Husavi Productions,0,0.00013475177304964539
75,zvallid,0,0.00012878787878787878
76,LoganProductions,0,0.00012871287128712872
77,ISP,0,0.00012835820895522389
78,Łukasz Jakowski,0,0.000125
79,Zieley,0,0.0001234567901234568
80,ParadoxExtra,0,0.00012072434607645876
81,Yrridian,0,0.00011458333333333333
82,Paradox Grand Strategy,0,0.0001125
83,Koifish,0,0.00010830324909747292
84,Montu Plays,0,0.00010344827586206896
85,ASpec,0,0.0001015228426395939
86,stakuyi,0,9.404388714733542e-05
87,Estoniaball Animations,0,9.35251798561151e-05
88,Polandball Official,0,9.191176470588235e-05
89,Slavic Bread,0,9.150326797385621e-05
90,Rimmy Downunder,0,8.950086058519793e-05
91,Anti-Kleaper,0,8.934707903780069e-05
92,Dovahhatty,0,8.737864077669902e-05
93,Warlockracy,0,8.522727272727273e-05
94,netVel,0,8.461538461538461e-05
95,SevenTePe,0,8.391608391608392e-05
96,Paradox Interactive,0,8.051948051948052e-05
97,Janovich,0,7.7720207253886e-05
98,Big Beak Entertainment,0,7.692307692307693e-05
99,DruuuWu,0,7.619047619047618e-05
100,EmperorTigerstar,0,7.604562737642586e-05
101,EcksToo,0,7.534246575342466e-05
102,Ricksdetrix,0,7.5e-05
103,PancreasNoWork,0,7.342657342657342e-05
104,Ingen,0,7.226107226107227e-05
105,Stoneworks,0,7.142857142857143e-05
106,Hazzor,0,6.853582554517133e-05
107,Monsieur Z,0,6.766917293233083e-05
108,Reginald II,0,6.719367588932806e-05
109,PolishTortoise,0,6.713780918727916e-05
110,Mr Samuel Streamer,0,6.698564593301435e-05
111,The Templin Institute,0,6.666666666666667e-05
112,Living Ironically in Europe,0,6.619385342789599e-05
113,Kaliningrad General,0,6.551724137931034e-05
114,MasterofRoflness,0,6.544502617801048e-05
115,Icariaball,0,6.42570281124498e-05
116,Potential History,0,6.342494714587737e-05
117,Basically Thai,0,6.301369863013699e-05
118,BrilliantStupidity,0,6.214689265536724e-05
119,Bruva Alfabusa,0,6.160164271047228e-05
120,The Grim Kleaper,0,6.083650190114068e-05
121,SurrealBeliefs,0,6.012658227848101e-05
122,Valefisk,0,5.8084772370486655e-05
123,Pravus,0,5.6402439024390247e-05
124,brain4breakfast,0,5.583756345177665e-05
125,Gattsu,0,5.58252427184466e-05
126,Eastory,0,5.496828752642706e-05
127,Drew Durnil,0,5.4e-05
128,RubixRaptor,0,5.298013245033112e-05
129,Arumba,0,5.241935483870968e-05
130,M. Laser History,0,5.0847457627118643e-05
131,Wizards and Warriors,0,5.0808314087759814e-05
132,lionheartx10,0,5.07399577167019e-05
133,Plastic Scot,0,5.0632911392405066e-05
134,mapsinanutshell,0,4.9535603715170275e-05
135,Reggie,0,4.878048780487805e-05
136,Canvas CountryBalls,0,4.8034934497816594e-05
137,Countryballs Explained,0,4.782608695652174e-05
138,TheXPGamers,0,4.761904761904762e-05
139,LazerPig,0,4.7191011235955054e-05
140,Simo,0,4.590163934426229e-05
141,wow_mao,0,4.53257790368272e-05
142,Geo Facts,0,4.4989775051124746e-05
143,John D Ruddy,0,4.4715447154471546e-05
144,History Matters,0,4.4444444444444447e-05
145,Jabzy,0,4.294478527607362e-05
146,Bulgarian Countryball,0,4.262295081967213e-05
147,Squire,0,4.221635883905013e-05
148,Kraut,0,4.1597337770382697e-05
149,The Cold War,0,4.147465437788019e-05
150,Geography and Space,0,4.1379310344827587e-05
151,Vorobey,0,4.0133779264214046e-05
152,TimeGhost History,0,4.0133779264214046e-05
153,AlternateHistoryHub,0,3.925619834710744e-05
154,Global Things,0,3.90625e-05
155,Feature History,0,3.9049235993208826e-05
156,Kilian Experience,0,3.776041666666667e-05
157,AshDoesGames,0,3.7735849056603776e-05
158,hoser,0,3.7470725995316157e-05
159,History Abridged with Jack Rackam,0,3.6931818181818184e-05
160,Cat-God Animation,0,3.678929765886288e-05
161,Atun-Shei Films,0,3.655913978494624e-05
162,Sabaton History,0,3.581267217630854e-05
163,BritMonkey,0,3.547671840354767e-05
164,SODAZ,0,3.465346534653465e-05
165,Daebom,0,3.454231433506045e-05
166,GDF,0,3.4383954154727795e-05
167,LegendofTotalWar,0,3.364485981308411e-05
168,Hakim,0,3.363914373088685e-05
169,No Idea Animation,0,3.3472803347280334e-05
170,Spookston,0,3.2196969696969696e-05
171,World War Two,0,3.211009174311927e-05
172,PointlessHub,0,3.2044198895027625e-05
173,TIKhistory,0,3.170731707317073e-05
174,JREG,0,3.142329020332717e-05
175,The Armchair Historian,0,3.140495867768595e-05
176,SideQuest - Animated History,0,3.1201248049921994e-05
177,Vlogging Through History,0,2.9661016949152544e-05
178,Historigraph,0,2.9473684210526317e-05
179,EckhartsLadder,0,2.9411764705882354e-05
180,Majorkill,0,2.932551319648094e-05
181,BazBattles,0,2.912621359223301e-05
182,SsethTzeentach,0,2.903225806451613e-05
183,Andjobe,0,2.8333333333333332e-05
184,Wahyu1039,0,2.788844621513944e-05
185,Historia Civilis,0,2.7884615384615386e-05
186,History of Everything Podcast,0,2.777777777777778e-05
187,KnowledgeHusk,0,2.7685492801771873e-05
188,Nerbit,0,2.6905829596412556e-05
189,mikeburnfire,0,2.6804123711340206e-05
190,MrSpherical,0,2.6424870466321243e-05
191,PWA,0,2.6217228464419475e-05
192,ambiguousamphibian,0,2.585034013605442e-05
193,Tank Fish,0,2.540983606557377e-05
194,Geopold,0,2.5270758122743684e-05
195,Mitsi Studio,0,2.524271844660194e-05
196,Real Time History,0,2.524271844660194e-05
197,Lathland,0,2.517162471395881e-05
198,BlueJay,0,2.5059665871121718e-05
199,Grant Wisler,0,2.4875621890547263e-05
